data,concelho,var,n
2007/2 Trimestre,Almada,Valor de Oferta / m2,1560
2007/2 Trimestre,Barreiro,Valor de Oferta / m2,1096
2007/2 Trimestre,Moita,Valor de Oferta / m2,1032
2007/2 Trimestre,Montijo,Valor de Oferta / m2,1240
2007/2 Trimestre,Palmela,Valor de Oferta / m2,1189
2007/2 Trimestre,Seixal,Valor de Oferta / m2,1394
2007/2 Trimestre,Sesimbra,Valor de Oferta / m2,1455
2007/2 Trimestre,Setúbal,Valor de Oferta / m2,1238
2007/2 Trimestre,Espinho,Valor de Oferta / m2,1482
2007/2 Trimestre,Gondomar,Valor de Oferta / m2,1001
2007/2 Trimestre,Maia,Valor de Oferta / m2,1107
2007/2 Trimestre,Matosinhos,Valor de Oferta / m2,1534
2007/2 Trimestre,Porto,Valor de Oferta / m2,1856
2007/2 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1388
2007/2 Trimestre,Valongo,Valor de Oferta / m2,950
2007/2 Trimestre,Vila do Conde,Valor de Oferta / m2,1328
2007/2 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1155
2007/3 Trimestre,Cascais,Fogos em Oferta,3251
2007/3 Trimestre,Lisboa,Fogos em Oferta,6348
2007/3 Trimestre,Loures,Fogos em Oferta,1191
2007/3 Trimestre,Mafra,Fogos em Oferta,391
2007/3 Trimestre,Oeiras,Fogos em Oferta,2292
2007/3 Trimestre,Sintra,Fogos em Oferta,3261
2007/3 Trimestre,Vila Franca de Xira,Fogos em Oferta,1971
2007/3 Trimestre,Amadora,Fogos em Oferta,2599
2007/3 Trimestre,Odivelas,Fogos em Oferta,1979
2007/3 Trimestre,Alcochete,Fogos em Oferta,450
2007/3 Trimestre,Almada,Fogos em Oferta,2326
2007/3 Trimestre,Barreiro,Fogos em Oferta,327
2007/3 Trimestre,Moita,Fogos em Oferta,374
2007/3 Trimestre,Montijo,Fogos em Oferta,714
2007/3 Trimestre,Palmela,Fogos em Oferta,708
2007/3 Trimestre,Seixal,Fogos em Oferta,1720
2007/3 Trimestre,Sesimbra,Fogos em Oferta,966
2007/3 Trimestre,Setúbal,Fogos em Oferta,2235
2007/3 Trimestre,Espinho,Fogos em Oferta,24
2007/3 Trimestre,Gondomar,Fogos em Oferta,1553
2007/3 Trimestre,Maia,Fogos em Oferta,1700
2007/3 Trimestre,Matosinhos,Fogos em Oferta,3035
2007/3 Trimestre,Porto,Fogos em Oferta,3795
2007/3 Trimestre,Póvoa de Varzim,Fogos em Oferta,63
2007/3 Trimestre,Valongo,Fogos em Oferta,683
2007/3 Trimestre,Vila do Conde,Fogos em Oferta,123
2007/3 Trimestre,Vila Nova de Gaia,Fogos em Oferta,3674
2007/3 Trimestre,Cascais,Valor de Oferta / m2,2264
2007/3 Trimestre,Lisboa,Valor de Oferta / m2,2661
2007/3 Trimestre,Loures,Valor de Oferta / m2,1690
2007/3 Trimestre,Mafra,Valor de Oferta / m2,1438
2007/3 Trimestre,Oeiras,Valor de Oferta / m2,2112
2007/3 Trimestre,Sintra,Valor de Oferta / m2,1438
2007/3 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1465
2007/3 Trimestre,Amadora,Valor de Oferta / m2,1747
2007/3 Trimestre,Odivelas,Valor de Oferta / m2,1626
2007/3 Trimestre,Alcochete,Valor de Oferta / m2,1161
2007/3 Trimestre,Almada,Valor de Oferta / m2,1569
2007/3 Trimestre,Barreiro,Valor de Oferta / m2,1090
2007/3 Trimestre,Moita,Valor de Oferta / m2,1049
2007/3 Trimestre,Montijo,Valor de Oferta / m2,1224
2007/3 Trimestre,Palmela,Valor de Oferta / m2,1187
2007/3 Trimestre,Seixal,Valor de Oferta / m2,1360
2007/3 Trimestre,Sesimbra,Valor de Oferta / m2,1429
2007/3 Trimestre,Setúbal,Valor de Oferta / m2,1242
2007/3 Trimestre,Espinho,Valor de Oferta / m2,1347
2007/3 Trimestre,Gondomar,Valor de Oferta / m2,995
2007/3 Trimestre,Maia,Valor de Oferta / m2,1123
2007/3 Trimestre,Matosinhos,Valor de Oferta / m2,1646
2007/3 Trimestre,Porto,Valor de Oferta / m2,1852
2007/3 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1339
2007/3 Trimestre,Valongo,Valor de Oferta / m2,959
2007/3 Trimestre,Vila do Conde,Valor de Oferta / m2,1307
2007/3 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1150
2007/4 Trimestre,Cascais,Fogos em Oferta,3617
2007/4 Trimestre,Lisboa,Fogos em Oferta,6936
2007/4 Trimestre,Loures,Fogos em Oferta,1312
2007/4 Trimestre,Mafra,Fogos em Oferta,411
2007/4 Trimestre,Oeiras,Fogos em Oferta,2284
2007/4 Trimestre,Sintra,Fogos em Oferta,3138
2007/4 Trimestre,Vila Franca de Xira,Fogos em Oferta,2152
2007/4 Trimestre,Amadora,Fogos em Oferta,2719
2007/4 Trimestre,Odivelas,Fogos em Oferta,2080
2007/4 Trimestre,Alcochete,Fogos em Oferta,452
2007/4 Trimestre,Almada,Fogos em Oferta,2315
2007/4 Trimestre,Barreiro,Fogos em Oferta,227
2007/4 Trimestre,Moita,Fogos em Oferta,311
2007/4 Trimestre,Montijo,Fogos em Oferta,1009
2007/4 Trimestre,Palmela,Fogos em Oferta,671
2007/4 Trimestre,Seixal,Fogos em Oferta,1784
2007/4 Trimestre,Sesimbra,Fogos em Oferta,1017
2007/4 Trimestre,Setúbal,Fogos em Oferta,2094
2007/4 Trimestre,Espinho,Fogos em Oferta,45
2007/4 Trimestre,Gondomar,Fogos em Oferta,1666
2007/4 Trimestre,Maia,Fogos em Oferta,1768
2007/4 Trimestre,Matosinhos,Fogos em Oferta,2950
2007/4 Trimestre,Porto,Fogos em Oferta,3793
2007/4 Trimestre,Póvoa de Varzim,Fogos em Oferta,61
2007/4 Trimestre,Valongo,Fogos em Oferta,707
2007/4 Trimestre,Vila do Conde,Fogos em Oferta,133
2007/4 Trimestre,Vila Nova de Gaia,Fogos em Oferta,3853
2007/4 Trimestre,Cascais,Valor de Oferta / m2,2260
2007/4 Trimestre,Lisboa,Valor de Oferta / m2,2700
2007/4 Trimestre,Loures,Valor de Oferta / m2,1717
2007/4 Trimestre,Mafra,Valor de Oferta / m2,1454
2007/4 Trimestre,Oeiras,Valor de Oferta / m2,2159
2007/4 Trimestre,Sintra,Valor de Oferta / m2,1488
2007/4 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1481
2007/4 Trimestre,Amadora,Valor de Oferta / m2,1732
2007/4 Trimestre,Odivelas,Valor de Oferta / m2,1634
2007/4 Trimestre,Alcochete,Valor de Oferta / m2,1158
2007/4 Trimestre,Almada,Valor de Oferta / m2,1572
2007/4 Trimestre,Barreiro,Valor de Oferta / m2,1142
2007/4 Trimestre,Moita,Valor de Oferta / m2,1089
2007/4 Trimestre,Montijo,Valor de Oferta / m2,1264
2007/4 Trimestre,Palmela,Valor de Oferta / m2,1196
2007/4 Trimestre,Seixal,Valor de Oferta / m2,1369
2007/4 Trimestre,Sesimbra,Valor de Oferta / m2,1441
2007/4 Trimestre,Setúbal,Valor de Oferta / m2,1234
2007/4 Trimestre,Espinho,Valor de Oferta / m2,1306
2007/4 Trimestre,Gondomar,Valor de Oferta / m2,987
2007/4 Trimestre,Maia,Valor de Oferta / m2,1119
2007/4 Trimestre,Matosinhos,Valor de Oferta / m2,1589
2007/4 Trimestre,Porto,Valor de Oferta / m2,1845
2007/4 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1341
2007/4 Trimestre,Valongo,Valor de Oferta / m2,970
2007/4 Trimestre,Vila do Conde,Valor de Oferta / m2,1313
2007/4 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1153
2008/1 Trimestre,Cascais,Fogos em Oferta,4229
2008/1 Trimestre,Lisboa,Fogos em Oferta,7440
2008/1 Trimestre,Loures,Fogos em Oferta,1391
2008/1 Trimestre,Mafra,Fogos em Oferta,433
2008/1 Trimestre,Oeiras,Fogos em Oferta,2841
2008/1 Trimestre,Sintra,Fogos em Oferta,5556
2008/1 Trimestre,Vila Franca de Xira,Fogos em Oferta,2409
2008/1 Trimestre,Amadora,Fogos em Oferta,3203
2008/1 Trimestre,Odivelas,Fogos em Oferta,2238
2008/1 Trimestre,Alcochete,Fogos em Oferta,448
